127.0.0.1 - - [13/May/2022:11:54:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:18 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:18 +0530] "GET /ElectroGrid-UserService/Components/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:18 +0530] "GET /ElectroGrid-UserService/Views/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:18 +0530] "GET /ElectroGrid-UserService/Components/users.js HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:43 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:47 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:54:59 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:09 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:19 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:22 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:45 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:50 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:51 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:51 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:55:52 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:56:20 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [13/May/2022:11:56:24 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [13/May/2022:11:56:27 +0530] "DELETE /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [13/May/2022:12:03:35 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [13/May/2022:12:03:50 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [13/May/2022:12:04:11 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [13/May/2022:12:04:14 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [13/May/2022:12:04:22 +0530] "POST /ElectroGrid-UserService/UserAPI HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [13/May/2022:12:04:51 +0530] "GET /ElectroGrid-UserService/users.jsp HTTP/1.1" 200 3115
